eid,eff_doi,title,source,doctype,mechanism_family,study_type,performance_reported,decision,pass2_note
2-s2.0-84983504522,10.1007/978-3-662-47386-3_31,The geometry of chuck hoberman: As the basis for the development of dynamic experimental structures,Communications in Computer and Information Science,Conference Paper,origami-deployable,experiment,energy,include,
2-s2.0-84915774886,10.1016/j.cad.2014.02.010,Meteorosensitive architecture: Biomimetic building skins based on materially embedded and hygroscopically enabled responsiveness,CAD Computer Aided Design,Article,material-driven,prototype,none,include,
2-s2.0-84921894183,10.3992/1943-4618-9.4.125,Effect of a novel internal roller shading system on energy performance,Journal of Green Building,Article,unclear,experiment,energy,include,
2-s2.0-84908406878,10.1162/leon_a_00839,"Nervous Ether: Soft Aggregates, Interactive Skins",Leonardo,Article,pneumatic-soft,experiment,none,include,
2-s2.0-84924011894,,Intelligent façade deployable multilayer adaptive membrane for sun-shading and insulation control and optimisation,11th World Congress on Computational Mechanics Wccm 2014 5th European Conference on Computational Mechanics Eccm 2014 and 6th European Conference on Computational Fluid Dynamics Ecfd 2014,Conference Paper,origami-deployable,simulation,unclear,include,
2-s2.0-84943011198,10.1016/j.foar.2014.03.002,Responsive envelope tessellation and stochastic rotation of 4-fold penttiles,Frontiers of Architectural Research,Article,origami-deployable,experiment,multiple,include,
2-s2.0-84894186566,10.1007/978-3-642-39578-9_3,Energy performance assessment of advanced integrated Façades by means of synthetic metrics,Lecture Notes in Electrical Engineering,Conference Paper,unclear,unclear,energy,include,
2-s2.0-84887981105,10.4028/www.scientific.net/kem.572.225,Parametric camshaft mechanism for adaptive building envelope and kinetic building ornaments,Key Engineering Materials,Article,mechanical,simulation,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85051970214,,Using physical testing to design and evaluate the acclimatisation of kinetic façades for daylight and thermal heat performance,Acadia 2014 Design Agency Proceedings of the 34th Annual Conference of the Association for Computer Aided Design in Architecture,Conference Paper,unclear,unclear,daylight,include,
2-s2.0-85203479433,10.1115/1.4027154,Evaluation of impact of shading devices on energy consumption of buildings in tropical regions,Journal of Energy Resources Technology Transactions of the ASME,Article,unclear,simulation,energy,include,
2-s2.0-85037166977,10.52842/conf.acadia.2014.281,Harvest shade screens programming material for optimal energy building skins,Acadia 2014 Design Agency Proceedings of the 34th Annual Conference of the Association for Computer Aided Design in Architecture,Conference Paper,material-driven,prototype,energy,include,
2-s2.0-84896841578,10.4028/www.scientific.net/amm.534.125,Adaptive system development for secondary skin,Applied Mechanics and Materials,Conference Paper,unclear,simulation,none,include,
2-s2.0-84887384538,10.1016/j.buildenv.2013.10.003,Developing a weather responsive internal shading system for atrium spaces of a commercial building in tropical climates,Building and Environment,Article,mechanical,experiment,multiple,uncertain_fulltext,PROMOTE: retractable
2-s2.0-84904663253,,Controlling kinetic cladding components in building façades: A case for autonomous movement,Rethinking Comprehensive Design Speculative Counterculture Proceedings of the 19th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2014,Conference Paper,unclear,unclear,unclear,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-84903122488,10.2495/mar140121,The design and physical modelling of deployable structures based on curved-line folding,Wit Transactions on the Built Environment,Conference Paper,origami-deployable,prototype,none,uncertain_fulltext,PROMOTE: deployable; folding
2-s2.0-84898977977,10.1016/j.egypro.2014.02.173,Retrofit of an existing school in Italy with high energy standards,Energy Procedia,Conference Paper,unclear,experiment,energy,include,
2-s2.0-84906536114,10.1016/j.enbuild.2014.07.086,Daylighting and solar shading performances of an innovative automated reflective louvre system,Energy and Buildings,Article,unclear,unclear,daylight,include,
2-s2.0-84898864189,10.4028/www.scientific.net/amm.541-542.954,Potential Analysis of Architectural Application of Solar Energy Resource in Panzhihua,Applied Mechanics and Materials,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-84885455549,10.1016/j.buildenv.2013.09.011,"An investigation into the impact of movable solar shades on energy, indoor thermal and visual comfort improvements",Building and Environment,Article,unclear,experiment,multiple,include,
2-s2.0-84898814645,10.1177/1744259113496388,Numerical evaluation of a phase change material-shutter using solar energy for winter nighttime indoor heating,Journal of Building Physics,Article,unclear,simulation,energy,include,
2-s2.0-84890952775,10.1145/2542266.2542282,Computing with matter,SIGGRAPH Asia 2013 Courses SA 2013,Conference Paper,unclear,simulation,none,include,
2-s2.0-84889564144,,Responsive façades: Parametric control of moveable tilings,Pertanika Journal of Science and Technology,Article,unclear,simulation,unclear,include,
2-s2.0-84886676476,10.26868/25222708.2013.1400,Occupant-proof buildings: Can we design buildings that are robust against occupant behaviour?,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-84885225206,10.1145/2493432.2494263,Lumina: A soft kinetic material for morphing architectural skins and organic user interfaces,Ubicomp 2013 Proceedings of the 2013 ACM International Joint Conference on Pervasive and Ubiquitous Computing,Conference Paper,unclear,prototype,daylight,include,
2-s2.0-84884329851,10.1016/j.enbuild.2013.08.033,Energy performance analysis of a solar-cooled building in Tunisia: Passive strategies impact and improvement techniques,Energy and Buildings,Article,unclear,simulation,energy,include,
2-s2.0-84883866070,10.1117/12.2022026,Prismatic louver active façades for natural illumination and thermal energy gain in high-rise and commercial buildings,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,mechanical,unclear,multiple,include,
2-s2.0-85138413676,10.1201/b15267-165,An innovative proposal for a deployable shading system,Structures and Architecture New Concepts Applications and Challenges,Book Chapter,origami-deployable,unclear,none,include,
2-s2.0-84880299383,10.1260/1478-0771.11.2.183,Designing a connected sustainable living environment,International Journal of Architectural Computing,Article,origami-deployable,prototype,none,include,
2-s2.0-84876850882,10.5555/2500004.2500006,Evaluating the performance robustness of fixed and movable shading devices against diverse occupant behaviors,Simulation Series,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-84874592305,10.4028/www.scientific.net/amr.660.222,Construction of smart building skins with flow and bend split products,Advanced Materials Research,Conference Paper,origami-deployable,experiment,energy,include,
2-s2.0-84884993770,10.1007/978-3-642-40840-3_2,Collaborative responsive façade design using sensor and actuator network,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,Conference Paper,unclear,prototype,daylight,include,
2-s2.0-84894119546,10.52842/conf.caadria.2013.945,Responsive building envelope as a material system of autonomous agents,Open Systems Proceedings of the 18th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2013,Conference Paper,unclear,simulation,none,include,
2-s2.0-84887907216,10.1201/b15267-164,An innovative proposal for a deployable shading system,Structures and Architecture Concepts Applications and Challenges Proceedings of the 2nd International Conference on Structures and Architecture Icsa 2013,Conference Paper,origami-deployable,unclear,none,include,
2-s2.0-84880083431,10.1201/b15002-95,An irregular discretization process for climate-responsive façades,Green Design Materials and Manufacturing Processes Proceedings of the 2nd International Conference on Sustainable Intelligent Manufacturing Sim 2013,Conference Paper,unclear,simulation,daylight,include,
2-s2.0-84885014497,10.1007/978-3-642-40840-3_31,Interactive decision making environment for the design optimization of climate adaptive building shells,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,Conference Paper,unclear,simulation,daylight,include,
2-s2.0-84933533905,,Assessment of movable insulation panels' energy and lighting potential for adaptive façades in architecture,42nd Ases National Solar Conference 2013 Solar 2013 Including 42nd Ases Annual Conference and 38th National Passive Solar Conference,Conference Paper,unclear,unclear,multiple,include,
2-s2.0-84896322281,10.1115/smasis2013-3001,SMA actuated vertical blade louver system: Part 1 performance requirements and design,ASME 2013 Conference on Smart Materials Adaptive Structures and Intelligent Systems Smasis 2013,Conference Paper,material-driven,prototype,energy,include,
2-s2.0-84903650549,10.1533/9780857093530.3.468,Architectural applications of smart textiles,Multidisciplinary Know how for Smart Textiles Developers,Book Chapter,material-driven,unclear,energy,include,
2-s2.0-85048323583,10.52842/conf.acadia.2013.243,Responsive materiality for morphing architectural skins,Acadia 2013 Adaptive Architecture Proceedings of the 33rd Annual Conference of the Association for Computer Aided Design in Architecture,Conference Paper,material-driven,experiment,multiple,include,
2-s2.0-85048328980,10.52842/conf.acadia.2013.109,Adaptation as a framework for reconsidering high-performance residential design: A case study,Acadia 2013 Adaptive Architecture Proceedings of the 33rd Annual Conference of the Association for Computer Aided Design in Architecture,Conference Paper,unclear,prototype,energy,include,
2-s2.0-84871554288,10.4028/www.scientific.net/amm.232.919,Adaptive building envelope system using parametric camshaft mechanism for sustainable building,Applied Mechanics and Materials,Conference Paper,mechanical,simulation,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-84875251530,10.52842/conf.caadria.2012.253,Envelope tesselation with stochastic rotation of 4-fold penttiles,Beyond Codes and Pixels Proceedings of the 17th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2012,Conference Paper,origami-deployable,simulation,energy,include,
2-s2.0-84874249257,10.1260/1478-0771.10.4.613,Computational design of a bio inspired responsive architectural Façade system,International Journal of Architectural Computing,Conference Paper,mechanical,simulation,none,include,
2-s2.0-84875265672,10.52842/conf.caadria.2012.465,Responsive architectural surface design from nonlinear systems biology: Responsive architectural design by computational methods,Beyond Codes and Pixels Proceedings of the 17th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2012,Conference Paper,unclear,simulation,none,include,
2-s2.0-84893266540,10.4017/gt.2012.11.02.519.00,An integrated automatic wall concreting system,2012 Proceedings of the 29th International Symposium of Automation and Robotics in Construction Isarc 2012,Conference Paper,pneumatic-soft,unclear,energy,include,
2-s2.0-84865759357,10.2495/hpsm120441,Analysing the applicability of deployable scissor structures in responsive building skins,Wit Transactions on the Built Environment,Conference Paper,origami-deployable,unclear,none,include,
2-s2.0-84865596200,10.1007/978-3-642-32609-7_17,Communication between physical and virtual models in designing smart buildings,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,Conference Paper,unclear,prototype,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-84860810606,10.4028/www.scientific.net/amm.164.85,A comparative study on building energy performance between movable and fixed shading materials,Applied Mechanics and Materials,Conference Paper,unclear,simulation,energy,include,
2-s2.0-85083950415,10.52842/conf.ecaade.2012.2.629,Design Considerations for Adopting Kinetic Facades in Building Practice,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,unclear,none,include,
2-s2.0-85127846958,,Integration of Digital Simulation Tools With Parametric Designs to Evaluate Kinetic Façades for Daylight Performance,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,simulation,daylight,include,
2-s2.0-84897086942,10.1016/j.egypro.2012.11.112,A control algorithm for optimal energy performance of a solarium/greenhouse with combined interior and exterior motorized shading,Energy Procedia,Conference Paper,mechanical,simulation,energy,include,
2-s2.0-84857407540,10.1016/j.apenergy.2012.02.006,Energy optimization of building design for different housing units in apartment buildings,Applied Energy,Article,unclear,simulation,energy,include,
2-s2.0-85022140158,10.52842/conf.ecaade.2012.2.391,Exploration of Eco-Kinetic Systems in Architecture Development of dynamic interactive building elements,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,unclear,experiment,daylight,include,
2-s2.0-84856997036,10.1260/1478-0771.9.4.397,Designing architectural morphing skins with elastic modular systems,International Journal of Architectural Computing,Article,unclear,experiment,multiple,include,
2-s2.0-81255170216,10.1109/ie.2011.64,Network of epidermic/kinetic/systems,Proceedings 2011 7th International Conference on Intelligent Environments Ie 2011,Conference Paper,unclear,theoretical,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-80055022185,10.4028/www.scientific.net/amm.71-78.621,Kinetic building envelopes for energy efficiency: Modeling and products,Applied Mechanics and Materials,Conference Paper,unclear,experiment,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-81255146361,10.1002/ad.1317,Feedback architecture,Architectural Design,Article,unclear,simulation,daylight,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-80054808693,10.1145/2037715.2037773,Second skin: Motion capture with actuated feedback for motor learning,ACM SIGGRAPH 2011 Posters SIGGRAPH 11,Conference Paper,mechanical,unclear,none,include,
2-s2.0-79959579260,10.5281/zenodo.1072214,Evaluation of the energy performance of shading devices based on incremental costs,World Academy of Science Engineering and Technology,Article,unclear,simulation,energy,include,
2-s2.0-79959990081,10.1260/1478-0771.9.1.77,Architectronics: Towards a responsive environment,International Journal of Architectural Computing,Conference Paper,unclear,experiment,none,include,
2-s2.0-84860725100,10.52842/conf.acadia.2011.170,Building skin intelligence: A parametric and algorithmic tool for daylighting performance design integration,Integration Through Computation Proceedings of the 31st Annual Conference of the Association for Computer Aided Design in Architecture Acadia 2011,Conference Paper,mechanical,simulation,daylight,include,
2-s2.0-84870586182,,Madrid's landscape through its cornice 1. from a façade to a kinetic section,Ega Revista De Expresion Grafica Arquitectonica,Article,unclear,unclear,unclear,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-84860745253,10.52842/conf.acadia.2011.334,Soft responsive kinetic system: An elastic transformable architectural skin for climatic and visual control,Integration Through Computation Proceedings of the 31st Annual Conference of the Association for Computer Aided Design in Architecture Acadia 2011,Conference Paper,unclear,experiment,multiple,include,
2-s2.0-77956157476,10.1109/cesce.2010.285,Parametric design based on building information modeling for sustainable buildings,International Conference on Challenges in Environmental Science and Computer Engineering Cesce 2010,Conference Paper,unclear,simulation,energy,include,
2-s2.0-78649933023,10.1088/0964-1726/19/12/124011,Adaptive building skin structures,Smart Materials and Structures,Article,pneumatic-soft,simulation,energy,include,
2-s2.0-77957897485,10.1080/09613218.2010.496556,A simulation of solar shading control on UK office energy use,Building Research and Information,Article,unclear,simulation,multiple,include,
2-s2.0-84870034647,10.1109/appeec.2010.5449511,Bio-inspired kinetic envelopes for building energy efficiency based on parametric design of building information modeling,Asia Pacific Power and Energy Engineering Conference Appeec,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-77952740301,10.1109/vr.2010.5444760,Second skin: Motion capture with actuated feedback for motor learning,Proceedings IEEE Virtual Reality,Conference Paper,mechanical,unclear,daylight,include,
2-s2.0-77952281279,10.1057/jba.2010.5,Sustainable vision of kinetic architecture,Journal of Building Appraisal,Article,unclear,unclear,none,include,
2-s2.0-77953076867,10.21273/horttech.20.2.283,Effects of shading using a retractable liquid foam technology on greenhouse and plant microclimates,Horttechnology,Article,mechanical,experiment,none,include,
2-s2.0-84863970931,,A morphology of pattern for kinetic facades,Joining Languages Cultures and Visions Caadfutures 2009 Proceedings of the 13th International Caad Futures Conference,Conference Paper,unclear,unclear,unclear,include,
2-s2.0-70349136564,10.1145/1517664.1517671,Shutters: A permeable surface for environmental control and communication,Proceedings of the 3rd International Conference on Tangible and Embedded Interaction Tei 09,Conference Paper,mechanical,unclear,daylight,include,
2-s2.0-60249088365,10.1016/j.buildenv.2008.08.005,Double skin façades for warm climate regions: Analysis of a solution with an integrated movable shading system,Building and Environment,Article,unclear,experiment,energy,include,
2-s2.0-70349189141,10.1145/1520340.1520696,Second Skin: Motion capture with actuated feedback for motor learning,Conference on Human Factors in Computing Systems Proceedings,Conference Paper,mechanical,unclear,none,include,
2-s2.0-84873496184,10.52842/conf.caadria.2009.195,Novel transformations of foldable structures,2009 Taiwan Caadria Between Man and Machine Integration Intuition Intelligence Proceedings of the 14th Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,origami-deployable,prototype,none,include,
2-s2.0-67349234405,10.1080/19401490701868299,Efficient calculation of daylight coefficients for rooms with dissimilar complex fenestration systems,Journal of Building Performance Simulation,Article,unclear,simulation,daylight,include,
2-s2.0-70349407764,10.1061/41016(314)205,Retractable stadium roofs & flooring,Proceedings of the 2008 Structures Congress Structures Congress 2008 Crossing the Borders,Conference Paper,origami-deployable,prototype,none,include,
2-s2.0-84858839195,10.52842/conf.acadia.2007.182,Rapid Craft: Material experiments towards an integrated sensing skin system,Expanding Bodies Art Cities Environment Proceedings of the Acadia 2007 Conference,Conference Paper,pneumatic-soft,experiment,none,include,
2-s2.0-35348880855,10.1177/1420326x07082497,Determining photosensor conditions of a daylight dimming control system using different double-skin envelope configurations,Indoor and Built Environment,Article,mechanical,experiment,multiple,include,
2-s2.0-84858985841,10.1007/978-1-4020-6528-6_34,A framework for the design of kinetic façades,Computer Aided Architectural Design Futures Caadfutures 2007 Proceedings of the 12th International Caadfutures Conference,Conference Paper,unclear,prototype,none,include,
2-s2.0-36048932964,10.1260/026635107782218877,3D adaptable building skin: Adaptive space as a guide through a corridor,International Journal of Space Structures,Conference Paper,pneumatic-soft,unclear,none,include,
2-s2.0-84857737228,10.7148/2006-0466,On line adaptation to variable conditions with variable envelope structure in future buildings,20th European Conference on Modelling and Simulation Modelling Methodologies and Simulation Key Technologies in Academia and Industry Ecms 2006,Conference Paper,mechanical,experiment,none,include,
2-s2.0-77954110421,10.17660/actahortic.2003.614.55,An innovative greenhouse with complete roof opening and external movable shading,Acta Horticulturae,Conference Paper,mechanical,experiment,none,include,
2-s2.0-0034937117,10.1590/s0100-73862001000200004,Numerical and experimental investigation of thermal louvers for space applications,Revista Brasileira De Ciencias Mecanicas Journal of the Brazilian Society of Mechanical Sciences,Article,mechanical,experiment,none,include,
2-s2.0-5844399231,10.1080/01425919708914330,Solar control research activities undertaken in the framework of PASCOOL,International Journal of Solar Energy,Article,mechanical,experiment,daylight,include,
2-s2.0-58149363285,10.1016/0097-8493(95)00044-5,A scalable architecture for volume rendering,Computers and Graphics,Article,unclear,unclear,none,include,
2-s2.0-84963565522,10.2312/eggh/eggh94/058-069,A Scalable Architecture for Volume Rendering,Eggh 1994 Eurographics Workshop on Graphics Hardware 1994,Conference Paper,unclear,unclear,none,include,
2-s2.0-0028175578,10.1016/0360-1323(94)90049-3,A comparison of passive cooling techniques,Building and Environment,Article,unclear,simulation,energy,include,
2-s2.0-85002213781,,A new method facilitating design calculations of passively or actively movable louvers,AIAA 28th Thermophysics Conference 1993,Conference Paper,mechanical,unclear,unclear,include,
2-s2.0-85024441095,10.2150/jlve.11.2_49,Movable Shade Louver,Journal of Light and Visual Environment,Article,mechanical,unclear,none,include,
2-s2.0-84997674074,10.2514/6.1987-1568,"Predicting the performance of solar illuminated thermal louvers for the goes I, J, K instruments",AIAA 22nd Thermophysics Conference 1987,Conference Paper,mechanical,unclear,none,include,
2-s2.0-0020221635,,PERFORMANCE CALCULATIONS OF MOVABLE LOUVERS AND HEAT PIPES.,undefined,Conference Paper,mechanical,unclear,unclear,include,
2-s2.0-0018543391,10.2514/3.28018,Analytical studies on design optimization of movable louvers for space use,Journal of Spacecraft and Rockets,Article,mechanical,simulation,none,include,
2-s2.0-34250285884,10.1007/bf00642581,Kinetic envelope solitons in turbulent plasmas,Astrophysics and Space Science,Article,unclear,unclear,none,include,
2-s2.0-85003273891,10.2514/3.27686,Analysis of movable louvers for temperature control,Journal of Spacecraft and Rockets,Article,mechanical,unclear,none,include,
